[2026-06-06 19:34:21,844][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/datasets/Nahrawy/VIDIT-Depth-ControlNet/resolve/main/README.md "HTTP/1.1 307 Temporary Redirect"
[2026-06-06 19:34:22,057][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/api/resolve-cache/datasets/Nahrawy/VIDIT-Depth-ControlNet/55734961bed33b21e75de764630092c4014ee7d9/README.md "HTTP/1.1 200 OK"
[2026-06-06 19:34:22,288][httpx][INFO] - HTTP Request: GET https://huggingface.co/api/resolve-cache/datasets/Nahrawy/VIDIT-Depth-ControlNet/55734961bed33b21e75de764630092c4014ee7d9/README.md "HTTP/1.1 200 OK"
[2026-06-06 19:34:22,510][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/datasets/Nahrawy/VIDIT-Depth-ControlNet/resolve/55734961bed33b21e75de764630092c4014ee7d9/VIDIT-Depth-ControlNet.py "HTTP/1.1 404 Not Found"
[2026-06-06 19:34:46,885][httpx][INFO] - HTTP Request: GET https://huggingface.co/api/datasets/Nahrawy/VIDIT-Depth-ControlNet/revision/55734961bed33b21e75de764630092c4014ee7d9 "HTTP/1.1 200 OK"
[2026-06-06 19:34:47,129][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/datasets/Nahrawy/VIDIT-Depth-ControlNet/resolve/55734961bed33b21e75de764630092c4014ee7d9/.huggingface.yaml "HTTP/1.1 404 Not Found"
[2026-06-06 19:34:47,496][httpx][INFO] - HTTP Request: GET https://huggingface.co/api/datasets/Nahrawy/VIDIT-Depth-ControlNet/tree/55734961bed33b21e75de764630092c4014ee7d9/data?recursive=true&expand=false "HTTP/1.1 200 OK"
[2026-06-06 19:34:47,732][httpx][INFO] - HTTP Request: GET https://huggingface.co/api/datasets/Nahrawy/VIDIT-Depth-ControlNet/tree/55734961bed33b21e75de764630092c4014ee7d9?recursive=false&expand=false "HTTP/1.1 200 OK"
[2026-06-06 19:34:47,974][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/datasets/Nahrawy/VIDIT-Depth-ControlNet/resolve/55734961bed33b21e75de764630092c4014ee7d9/dataset_infos.json "HTTP/1.1 404 Not Found"
[2026-06-06 19:34:48,224][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/datasets/Nahrawy/VIDIT-Depth-ControlNet/resolve/55734961bed33b21e75de764630092c4014ee7d9/data/train-00000-of-00042-07c5c876e7e9898f.parquet "HTTP/1.1 302 Found"
[2026-06-06 19:34:48,456][httpx][INFO] - HTTP Request: GET https://huggingface.co/api/datasets/Nahrawy/VIDIT-Depth-ControlNet/xet-read-token/55734961bed33b21e75de764630092c4014ee7d9 "HTTP/1.1 200 OK"
